Title,Content,ImgUrl
陳菊請辭總統府秘書長 獲提名監察院長呼聲高,總統府秘書長陳菊在黨內輩分高，始終扮演「桶箍」角色，但也常是「石磨心」，忍辱負重，如今將離開總統府，雖然未透露動向，但在總統蔡英文的第二任，應該仍有更重要的任務由她承擔。為給蔡總統更大的空間，作最好的布局，陳菊透過臉書宣布不續任，外傳將獲提名監察院長，她未透露動向，只強調仍然會和大家站在一起，不忘初衷，守護深愛的土地。民進黨立法院黨團總召柯建銘曾說，陳菊見證台灣坎坷的民主過程，也是美麗島世代唯一還在執政決策圈的美麗島事件受刑人。當今若有誰能出任監察院長兼國家人權委員會首任主委，陳菊是唯一人選。陳菊18歲擔任郭雨新的秘書，從黨外小妹開啟政治生涯，在美麗島大審被判刑12年，歷任台北市政府社會局長、勞委會主委、高雄市長的她，在去年美麗島事件40週年時，已位居總統府秘書長高位，成為美麗島事件政治犯迄今仍在政壇發展的唯一一人。總統蔡英文曾說，陳菊是她的mentor（良師益友），陳菊卻說自己是「職業革命家」，一輩子只做過一個工作，從不會賺錢，一生所交的朋友都在同一個圈子，也說，自己沒有國民黨的朋友。2018年4月陳菊離開高雄市北上接任總統府秘書長後，年底縣市長選舉，國民黨推出的韓國瑜拿下民進黨執政多年的高雄市，對被封為「南霸天」的陳菊，打擊不可謂不大，而外界對她的流言流語，更令她無法容忍，在選後對不少涉及造謠的網友提起告訴，用行動捍衛自身名譽。黨內暱稱為「菊姊」的陳菊，在黨內輩分之高不在話下，而她之所以受敬重，是她長期在黨內調和鼎鼐，扮演化解紛爭、促進團結的「桶箍」角色。「我們夾在中間，做石磨心、很艱苦（台語）。」陳菊深獲蔡總統信任，兩人關係如姊妹，但去年民進黨總統初選，和她情同姊弟的前行政院長賴清德決定挑戰蔡總統，讓夾在兩人之間的陳菊倍感痛苦，她始終不放棄調解，儘管最後仍走上初選一途，她也多方奔走，促成蔡賴配，並以817萬票贏得勝選。擔任總統府秘書長，陳菊不論是對內或對外，都能發揮調和鼎鼐的功能，成為蔡總統重要的幕僚長。立法院去年在美麗島事件40周年這一天，通過修法將國家人權委員會設在監察院，不僅是推動監察院轉型賦予深化人權工作的新使命，修法通過後，黨內要角們心知肚明，黨外小妹陳菊堪稱是接下監察院長兼國家人權委員會主委唯一人選。,
中國駐以色列大使猝逝 媒體指死因疑為心臟問題,中國駐以色列大使杜偉今天被人發現死於特拉維夫市（Tel Aviv）郊外的官邸。以色列媒體引述緊急醫護機構報導，死因似乎是心臟問題。以色列警方發言人羅森費德（Micky Rosenfeld）告訴法新社，57歲的杜偉陳屍在特拉維夫北方的赫茲利亞市（Herzliya）官邸，警方還在調查中。杜偉今年2月中抵達以色列履新，妻兒不在以色列境內。中國外交部表示，只有掌握牢靠資訊時才會評論。法新社記者指出，官邸內可看到以色列員警和鑑識小組。這座宅邸外有矮牆，花園枝葉扶疏，替宅院提供遮蔭。根據杜偉在大使館網頁上的經歷，他曾擔任中國駐烏克蘭大使。以色列「國土報」（Haaretz）報導，初步消息顯示員工在床上發現杜偉的遺體，現場無暴力致死跡象。國土報並引述以色列緊急醫療救護組織紅色大衛之星（Magen David Adom）指出，杜偉的死因似是心臟問題。但紅色大衛之星發言人不提供任何正式資訊。根據以色列媒體5月一次採訪，由於2019冠狀病毒疾病（COVID-19，武漢肺炎）疫情，杜偉在抵達以色列時，曾接受居家隔離檢疫14天。流通量最高的希伯來文報紙「今日以色列報」（Yisrael Hayom）4月2日曾刊登杜偉的評論，主題為「團結是治療病毒的良藥」。以色列是美國的堅實盟友。中國與以色列在高科技等領域加強合作，已導致華府敦促以色列對中國投資其戰略產業設限。,
世衛專家：兒童染疫風險非常低　若落實社交距離可復課,"世界衛生組織（WHO）首席科學家史瓦米娜森博士17日表示，若充分落實社交距離措施，學校可重新開放。她並認為，兒童感染新冠病毒的風險非常低。她在接受英國廣播公司（BBC）節目「安德魯馬爾秀」訪問時說：「兒童似乎不會因為感染這種疾病而成為重症，他們有能力感染這種疾病，但有關他們如何傳播這這種疾病的資料較少。」她並指出，在學校保持開放的國家裡，並未見到新冠病毒疾病大規模爆發的情況發生。過去爆發的疫情都跟很多人聚集在一起活動有關，並未發生在教室裡。「因此，從我們現在所知道的情況來看，即使孩童被感染了，他們也不太可能傳播疾病，而且患病的風險也很低。」史瓦米娜森博士還表示，WHO一直在分析疫情期間仍開放學校國家的數據，並建議重新調整教室桌椅距離，讓孩童們可保持至少一公尺以上的距離。SPAIN PANDEMIC CORONAVIRUS COVID19 SCHOOLS:Disinfection in schools amid coronavirus pandemic
epa08423954 A worker disinfects an empty classroom at a primary school in Valencia, Spain, 15 May 2020. Valencia's regional Government has proposed to continue with distance learning up until the end of the school year in June 2020, as lockdown continues in Spain, although parents who have no one to take care of their children may take them to school once the stage 2 is activated in the region.  EPA-EFE/Manuel Bruque
史瓦米娜森博士指出，過去爆發的疫情從未跟在教室內上課有關，圖為15日西班牙瓦倫西亞小學教室內，一名工人仔細消毒課桌椅情形。歐新社facebook","ttps://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2020/05/17/realtime/7892814.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600
"
陳菊不續任府秘書長 總統：不捨但尊重意願,520前夕，總統府秘書長陳菊今天表示，520以後不再續任總統府秘書長。總統蔡英文透過臉書回應表示，陳菊好幾次表達去意，雖然感到不捨，但最後還是只能尊重她的意願。陳菊晚間在臉書以「向所有關心她的朋友報告」形式表示，520之後不再續任總統府秘書長。在台灣即將邁向一個新階段的此時，總統需要有更大的空間，作最好的布局；因此選擇離開工作了兩年的總統府。總統也在第一時間透過臉書發文表示，這兩年多真的讓菊姐辛苦了。總統說，非常感謝前年底那時，陳菊能夠決定留下來，陪伴她與執政團隊度過最艱難的那段日子。「多虧了她，我們才能克服許多困難，重新站穩腳步」。總統進一步說，今年以來，菊姐好幾次表達去意，雖然感到不捨，但最後還是只能尊重她的意願，「因為我也可以感受到她這些日子所承擔的這麼多，這些都讓人很心疼」。最後，總統對陳菊說「謝謝菊姐！你總是在我們最需要的時候義無反顧地承擔起來！」,
西班牙新冠肺炎單日增87死 兩個月來首度低於百死,路透報導，西班牙衛生部17日表示，境內新增新冠肺炎87例死亡，是2個月來單日病故人數首度低於100。西班牙目前共23萬698人確診，2萬7563死亡。,
不續任府秘書長  陳菊：總統需空間作最好布局,520前夕，總統府秘書長陳菊今天表示，選後向總統表達，現在是告別總統府最適當的時候。在台灣即將邁向一個新階段的此時，總統需要有更大的空間，作最好的布局；因此選擇離開工作了兩年的總統府。但是，陳菊在臉書中並未透露她的下一步。陳菊晚間在臉書以「向所有關心她的朋友報告」形式表示，520之後不再續任總統府秘書長。今年1月，在小英總統帶領下，一起守住了台灣的民主自由與改革成果，向全世界證明了台灣人的智慧與勇敢。她說，在台灣即將邁向一個新階段的此時，總統需要有更大的空間，作最好的布局；因此選擇離開工作了兩年的總統府。陳菊表示，2018年九合一敗選後，民進黨跌落低谷。幾十年的犧牲奮鬥所累積的民主成果，面臨能否存續的危機，「我們的團結，不斷被撕裂。我們的價值，遭受前所未有的威脅。支持者的信心一點一滴地流失。小英總統當時承受了巨大的壓力，我無法袖手旁觀，更不能退縮放棄。」陳菊堅持，即使面對謾罵抹黑，也必須跟總統共渡難關，協助總統連任，以鞏固我們的國家，守護民主，讓改革能夠繼續。她說，「2020大選，我們克服了滔天巨浪的挑戰，讓民主站穩腳步，台灣繼續前進，這是所有人民的勝利。而其後，我們又團結起來，面對疫情的威脅，讓台灣獲得國際社會空前的肯定。我們應該驕傲！台灣的民主體制，可以面對各種危機，並貫徹我們對自由與人權價值的追求。」陳菊表示，選後，向總統表達，現在是告別總統府最適當的時候。過去兩年，跟隨總統渡過最艱難的關頭，看到許多年輕世代，熱情投入公共事務，承擔民主的重任。社會充滿著希望與活力，對台灣的未來深具信心。「兩年來，能與小英總統、副總統陳建仁在總統府同甘共苦，這是一段不在我人生規劃中的旅程」。陳菊說，過去，總統府是黨國威權的象徵；如今，它是人民的總統府。而她從一個為弱勢發聲的黨外小妹，走過驚恐的戒嚴時代，見證了政黨輪替，到走進總統府，輔佐台灣第一位女總統，歷經50年。這條道路崎嶇而漫長，但民主、自由、人權已經逐漸扎根。我們一起走過黑暗，也一起創造了屬於台灣的榮耀，讓台灣充滿希望。在離開前，陳菊感謝總統對她的信任和支持，也感謝總統府所有工作夥伴的努力與合作，一起實現我們對台灣人民的承諾。陳菊表示，未來，仍然會和大家站在一起，不忘初衷，守護我們深愛的土地，追求一個沒有恐懼、沒有威脅的美好社會。也希望，大家一起來當小英總統的後盾，支持總統，給總統更多力量，帶領國家大步前進。,
韓國武漢肺炎新增13例確診 夜店群聚累計168例,韓國中央防疫對策本部今天通報，截至今天凌晨零時，境內較前一天凌晨零時新增13起2019冠狀病毒疾病（COVID-19，武漢肺炎）確診病例，累計確診達1萬1050例。韓聯社報導，韓國單日新增確診數連續2天維持在20例以下。新增13例確診中，6例屬社區感染，分別是首爾市4例，大邱市和大田市各1例；其餘7例屬境外移入病例，當中4例是在入境檢疫過程中確診，其餘為首爾市1例、慶尚南道2例。新增的6起社區感染病例中，有5例與首爾梨泰院夜店有關。與梨泰院群聚感染有關的病例，已增至168例。累計確診病例中，男女占比分別為41.17%和58.83%。各年齡層中，以20多歲病例最多，共有3079例，占27.86%，其次依序為50多歲（17.8%）、40多歲（13.19%）、60多歲（12.34%）和30多歲（10.96%）。韓國今天沒有通報新增死亡病例，累計死亡病例維持262例。平均病死率為2.37%，80歲以上患者病死率達25.92%，年齡越大病死率也越高。累計痊癒並解除隔離的病例共9888例，較前一天增加37例。正在接受隔離治療的病例為900例。目前為止，包括確診者在內，共有74萬7653人接受病毒檢測，當中71萬8943人呈陰性反應，1萬7660人檢測結果尚未出爐。,
駐以色列代表張國葆投書 籲挺台灣參加世衛大會,駐以色列代表張國葆投書當地報紙指出，戰勝武漢肺炎的台灣遭國際政治拒諸門外「不僅不公平，而且是危險的」，強調台灣必須參加世界衛生大會，全球必須齊心共同抗疫。以色列「新消息報」（Yedioth Ahronoth）今天刊登張國葆「我們戰勝武漢病毒，請聽我們的意見」投書，內容指出，台灣因為成功對抗武漢肺炎，以低確診、低死亡病例的成就而於近日占據以色列各大媒體版面。他表示，台灣與武漢肺炎病毒發源地中國經貿連結廣泛、往來航班密切、地理位置相近，而且有成千上萬台灣人住在中國，原本被視為疫情傳播的重點地區。「但台灣成功遏制此一流行疾病，沒有封城也沒有停課。在台灣2300萬人口中，只有7例死亡。」張國葆指出：「這是對抗武漢肺炎的一項巨大成就，世界大多數國家只能投以羨慕眼光。但也許更重要的是，他們可以從中學習如何抗擊這個流行病。」以色列媒體稱許台灣的奇蹟，各黨派官員皆讚揚台灣以高科技監測技術防止疾病傳播，同時尊重個人隱私，在全球抗疫中立下良好典範。張國葆表示，除了妥善準確處理此一傳染病危機之外，台灣還持續通過捐贈醫療設備和物資協助其他國家抗疫。儘管如此，台灣還是被摒除於世界衛生組織之外，「這實在沒有道理，既不公平也不正義，且完全無法令人接受」。他進一步指出，台灣近年來遭摒除於世界衛生大會和世衛組織之外，其原因極具政治性且毫無必要。張國葆表示：「下週世界衛生大會將在日內瓦召開，台灣憑藉其專業知識、經驗及久經考驗的成功，必須參加此次會議。疾病無國界，全世界必須齊心共同抗疫。他強調：「台灣可以幫助世界應對危機，因為我們都在同一艘船上。沒有人，當然也包括台灣，應該被撇下。」,
因應科技戰 中芯獲中國國家基金增資近7百億元,美中晶片戰爭未歇，中芯國際（SMIC）15日在香港交易所公告，中國國家集成電路基金Ⅱ與上海集成電路基金Ⅱ分別向中芯南方增資15億美元及7.5億美元（新台幣共約680億元），用於資本開支。美國政府15日公布出口新規定，意圖切斷中國電信設備大廠華為與海外供應商的關係。替華為代工的全球晶圓代工龍頭台積電深陷美中科技冷戰，能否持續向華為供貨，決定權可能掌握在美國手中。路透社先前曾引述知情人士報導稱，中國電信設備巨擘華為因應美國可能祭出更多封殺措施，正逐漸將自家設計晶片的生產工作，從台積電轉移到中國的中芯國際。中芯國際公告稱，中芯南方是一間12英寸晶圓廠。因預期先進製程的市場需求持續急增，中芯南方的目標是將產能由每月6000片增加至3萬5000片，以滿足未來的積體電路晶圓代工生產需要。中國基金報引述業內人士看法認為，中芯國際獲大基金重金注資以及加快融資節奏，背後是中國國產晶圓自主化的進程正在加快；而美國針對晶圓出口的限制不斷升級，更是進一步加大國產替代的緊迫性。中信證券電子團隊則指出，過去一年華為在IC設計端已基本實現自行研發替代、或是由非美國供應商的轉換，但華為在製造端仍高度依賴台積電，且上游半導體設備、EDA軟體仍被美國廠商壟斷，因而成為美方重點施壓方向。公告指出，增資後，中芯南方註冊資本將由35億美元增加至65億美元。公司透過中芯控股持有的中芯南方股權將由50.1%下降至38.515%；中芯南方將由國家集成電路基金、國家集成電路基金Ⅱ、上海集成電路基金及上海集成電路基金Ⅱ，分別擁有14.562%、23.077%、12.308%及11.538%股權。,
【名家觀點】雲上創新是企業轉型關鍵,近年來，人工智慧、5G、互聯網等新興技術方興未艾，再加上今年因新冠肺炎疫情影響，讓遠程醫療、線上教育等應用需求大增，也對身處產業鏈各環節的大小企業帶來了不同的挑戰與機會。為了達成數位轉型，全面提升數據處理效率及安全性、強化資訊科技管理水準、擴充資源儲存容量等，已是各企業的基本要求。,
